ROWID,ZIP,CITY,STATE
1,67749,Oberlin,KS
2,85003,Phoenix,AZ
3,85004,Phoenix,AZ
4,85006,Phoenix,AZ
5,85007,Phoenix,AZ
6,85008,Phoenix,AZ
7,85009,Phoenix,AZ
8,85012,Phoenix,AZ
9,85013,Phoenix,AZ
10,85014,Phoenix,AZ
11,85015,Phoenix,AZ
12,85016,Phoenix,AZ
13,85017,Phoenix,AZ
14,85018,Phoenix,AZ
15,85019,Phoenix,AZ
16,85020,Phoenix,AZ
17,85021,Phoenix,AZ
18,85022,Phoenix,AZ
19,85023,Phoenix,AZ
20,85024,Phoenix,AZ
21,85027,Phoenix,AZ
22,85028,Phoenix,AZ
23,85029,Phoenix,AZ
24,85031,Phoenix,AZ
25,85032,Phoenix,AZ
26,85033,Phoenix,AZ
27,85034,Phoenix,AZ
28,85035,Phoenix,AZ
29,85037,Phoenix,AZ
30,85040,Phoenix,AZ
31,85041,Phoenix,AZ
32,85042,Phoenix,AZ
33,85043,Phoenix,AZ
34,85044,Phoenix,AZ
35,85045,Phoenix,AZ
36,85048,Phoenix,AZ
37,85050,Phoenix,AZ
38,85051,Phoenix,AZ
39,85053,Phoenix,AZ
40,85054,Phoenix,AZ
41,85083,Phoenix,AZ
42,85085,Phoenix,AZ
43,85086,Phoenix,AZ
44,85087,NewRiver,AZ
45,85201,Mesa,AZ
46,85202,Mesa,AZ
47,85203,Mesa,AZ
48,85204,Mesa,AZ
49,85205,Mesa,AZ
50,85206,Mesa,AZ
51,85207,Mesa,AZ
52,85208,Mesa,AZ
53,85209,Mesa,AZ
54,85210,Mesa,AZ
55,85212,Mesa,AZ
56,85213,Mesa,AZ
57,85215,Mesa,AZ
58,85218,ApacheJunction,AZ
59,85219,ApacheJunction,AZ
60,85220,ApacheJunction,AZ
61,85222,CasaGrande,AZ
62,85224,Chandler,AZ
63,85225,Chandler,AZ
64,85226,Chandler,AZ
65,85228,Coolidge,AZ
66,85231,Eloy,AZ
67,85232,Florence,AZ
68,85233,Gilbert,AZ
69,85234,Gilbert,AZ
70,85238,Maricopa,AZ
71,85239,Maricopa,AZ
72,85240,QueenCreek,AZ
73,85242,QueenCreek,AZ
74,85243,QueenCreek,AZ
75,85247,Sacaton,AZ
76,85248,Chandler,AZ
77,85249,Chandler,AZ
78,85250,Scottsdale,AZ
79,85251,Scottsdale,AZ
80,85253,ParadiseValley,AZ
81,85254,Scottsdale,AZ
82,85255,Scottsdale,AZ
83,85256,Scottsdale,AZ
84,85257,Scottsdale,AZ
85,85258,Scottsdale,AZ
86,85259,Scottsdale,AZ
87,85260,Scottsdale,AZ
88,85262,Scottsdale,AZ
89,85263,RioVerde,AZ
90,85264,FortMcDowell,AZ
91,85266,Scottsdale,AZ
92,85268,FountainHills,AZ
93,85273,Superior,AZ
94,85281,Tempe,AZ
95,85282,Tempe,AZ
96,85283,Tempe,AZ
97,85284,Tempe,AZ
98,85286,Chandler,AZ
99,85294,CasaGrande,AZ
100,85295,Gilbert,AZ
101,85296,Gilbert,AZ
102,85297,Gilbert,AZ
103,85298,Gilbert,AZ
104,85301,Glendale,AZ
105,85302,Glendale,AZ
106,85303,Glendale,AZ
107,85304,Glendale,AZ
108,85305,Glendale,AZ
109,85306,Glendale,AZ
110,85308,Glendale,AZ
111,85309,LukeAFB,AZ
112,85310,Glendale,AZ
113,85313,Glendale,AZ
114,85323,Avondale,AZ
115,85324,BlackCanyonCity,AZ
116,85326,Buckeye,AZ
117,85331,CaveCreek,AZ
118,85335,ElMirage,AZ
119,85338,Goodyear,AZ
120,85339,Laveen,AZ
121,85340,LitchfieldPark,AZ
122,85345,Peoria,AZ
123,85351,SunCity,AZ
124,85353,Tolleson,AZ
125,85354,Tonopah,AZ
126,85355,Waddell,AZ
127,85373,SunCity,AZ
128,85374,Surprise,AZ
129,85375,SunCityWest,AZ
130,85379,Surprise,AZ
131,85381,Peoria,AZ
132,85382,Peoria,AZ
133,85383,Peoria,AZ
134,85387,Surprise,AZ
135,85388,Surprise,AZ
136,85390,Wickenburg,AZ
137,85392,Avondale,AZ
138,85395,Goodyear,AZ
139,85396,Buckeye,AZ
140,85501,Globe,AZ
141,85539,Miami,AZ
142,85541,Payson,AZ
143,85544,Pine,AZ
144,85602,Benson,AZ
145,85625,Pearce,AZ
146,85631,SanManuel,AZ
147,85653,Marana,AZ
148,85701,Tucson,AZ
149,85705,Tucson,AZ
150,85716,Tucson,AZ
151,85719,Tucson,AZ
152,85721,Tucson,AZ
153,86001,Flagstaff,AZ
154,86004,Flagstaff,AZ
155,86301,Prescott,AZ
156,86303,Prescott,AZ
157,86305,Prescott,AZ
158,86314,PrescottValley,AZ
159,86322,CampVerde,AZ
160,86324,Clarkdale,AZ
161,86325,Cornville,AZ
162,86326,Cottonwood,AZ
163,86327,Dewey,AZ
164,86332,Kirkland,AZ
165,86333,Mayer,AZ
166,86335,Rimrock,AZ
167,86336,Sedona,AZ
168,86337,Seligman,AZ
169,86406,LakeHavasuCity,AZ
170,86429,BullheadCity,AZ
171,87829,Quemado,NM
172,88045,Lordsburg,NM
173,89008,Caliente,NV
174,89101,LasVegas,NV
175,92113,SanDiego,CA
